filepath,hour,minute,second,label
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_kitchen_mindful_meal\20250307.pkl,9,29,10,6
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_kitchen_mindful_meal\20250307.pkl,9,29,40,5
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_kitchen_mindful_meal\20250307.pkl,9,30,0,5
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_kitchen_mindful_meal\20250307.pkl,9,30,40,6
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_kitchen_mindful_meal\20250307.pkl,9,30,50,6
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_kitchen_mindful_meal\20250307.pkl,9,31,0,5
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_kitchen_mindful_meal\20250307.pkl,9,31,10,5
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_kitchen_mindful_meal\20250307.pkl,9,32,50,5
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_kitchen_mindful_meal\20250307.pkl,9,33,40,5
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_kitchen_mindful_meal\20250307.pkl,9,33,50,5
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_kitchen_mindful_meal\20250307.pkl,9,34,0,5
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_kitchen_mindful_meal\20250307.pkl,9,35,20,5
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_kitchen_mindful_meal\20250307.pkl,9,35,30,5
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_kitchen_mindful_meal\20250307.pkl,9,36,0,6
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_kitchen_mindful_meal\20250307.pkl,9,37,30,5
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_kitchen_mindful_meal\20250307.pkl,9,37,40,5
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_kitchen_mindful_meal\20250307.pkl,9,38,0,6
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_kitchen_mindful_meal\20250307.pkl,9,39,20,5
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_kitchen_mindful_meal\20250307.pkl,9,39,30,5
