step,feature,score,gain
1,1_y,0.6877801015835077,0.6877801015835077
2,17_y,0.698237227367792,0.010457125784284371
3,7_y,0.7929489094711683,0.09471168210337622
4,3_y,0.8425455631909172,0.04959665371974897
5,14_y,0.8754108156558111,0.03286525246489391
6,2_y,0.8909471168210338,0.015536301165222643
7,6_y,0.903196892739767,0.012249775918733219
8,16_vy,0.9085748431431132,0.00537795040334621
9,5_vz,0.9151478936360921,0.006573050492978849
10,10_y,0.9160442187033164,0.0008963250672243683
11,11_vy,0.922019719151479,0.0059755004481625296
12,16_y,0.9253062443979684,0.0032865252464894246
13,4_vx,0.9321780699133553,0.006871825515386898
14,4_y,0.9327756199581715,0.0005975500448162085
15,2_uvz,0.9330743949805796,0.0002987750224081598
16,14_vy,0.9357633701822528,0.002688975201673105
17,13_y,0.9369584702718853,0.0011951000896325281
18,3_vy,0.9375560203167015,0.0005975500448162085
19,4_uvx,0.9402449955183747,0.002688975201673216
