step,feature,score,gain
1,0_y,0.5318791946308725,0.5318791946308725
2,9_y,0.62751677852349,0.09563758389261745
3,7_y,0.7802013422818792,0.15268456375838924
4,5_y,0.8271812080536913,0.046979865771812124
5,2_vy,0.8590604026845637,0.03187919463087241
6,8_y,0.8842281879194631,0.025167785234899376
7,10_y,0.9010067114093959,0.016778523489932806
8,12_vz,0.9093959731543624,0.008389261744966459
9,3_y,0.9144295302013423,0.005033557046979942
10,15_vz,0.924496644295302,0.010067114093959662
11,8_vx,0.9278523489932886,0.003355704697986628
12,9_uvy,0.9379194630872483,0.010067114093959662
