filepath,hour,minute,second,label
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_normal_question\20250329.pkl,19,20,0,5
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_normal_question\20250329.pkl,19,20,10,6
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_normal_question\20250329.pkl,19,20,20,5
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_normal_question\20250329.pkl,19,20,30,6
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_normal_question\20250329.pkl,19,20,40,5
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_normal_question\20250330.pkl,11,4,0,5
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_normal_question\20250330.pkl,11,4,10,5
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_normal_question\20250330.pkl,11,4,20,5
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_normal_question\20250330.pkl,11,4,30,5
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_normal_question\20250330.pkl,11,4,40,5
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_normal_question\20250330.pkl,11,4,50,5
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_normal_question\20250330.pkl,11,5,0,5
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_normal_question\20250330.pkl,11,5,10,5
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_normal_question\20250330.pkl,11,5,20,5
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_normal_question\20250330.pkl,11,5,30,5
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_normal_question\20250330.pkl,11,5,40,4
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_normal_question\20250330.pkl,11,5,50,5
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_normal_question\20250330.pkl,11,6,0,5
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_normal_question\20250330.pkl,11,6,10,5
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_normal_question\20250330.pkl,11,6,20,5
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_normal_question\20250330.pkl,11,6,30,5
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_normal_question\20250330.pkl,11,6,40,4
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_normal_question\20250330.pkl,11,6,50,5
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_normal_question\20250330.pkl,11,7,0,5
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_normal_question\20250330.pkl,11,7,10,5
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_normal_question\20250330.pkl,11,7,20,5
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_normal_question\20250330.pkl,11,7,30,5
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_normal_question\20250330.pkl,11,7,40,5
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_normal_question\20250330.pkl,11,7,50,5
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_normal_question\20250330.pkl,11,8,0,5
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_normal_question\20250330.pkl,11,8,10,5
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_normal_question\20250330.pkl,11,8,20,5
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_normal_question\20250330.pkl,11,8,30,5
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_normal_question\20250330.pkl,11,8,40,5
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_normal_question\20250330.pkl,11,8,50,5
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_normal_question\20250330.pkl,11,9,0,5
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_normal_question\20250330.pkl,11,9,10,5
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_normal_question\20250330.pkl,11,9,20,5
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_normal_question\20250330.pkl,11,9,30,5
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_normal_question\20250330.pkl,11,9,40,5
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_normal_question\20250330.pkl,11,9,50,6
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_normal_question\20250330.pkl,11,13,30,5
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_normal_question\20250330.pkl,11,13,40,6
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_normal_question\20250330.pkl,19,0,20,2
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_normal_question\20250330.pkl,19,0,30,2
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_normal_question\20250330.pkl,19,0,40,2
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_normal_question\20250330.pkl,19,0,50,2
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_normal_question\20250330.pkl,19,1,0,2
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_normal_question\20250330.pkl,19,1,10,1
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_normal_question\20250330.pkl,19,1,20,1
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_normal_question\20250330.pkl,19,1,30,2
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_normal_question\20250330.pkl,19,1,40,2
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_normal_question\20250330.pkl,19,1,50,2
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_normal_question\20250330.pkl,19,2,0,2
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_normal_question\20250330.pkl,19,2,10,1
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_normal_question\20250330.pkl,19,2,20,2
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_normal_question\20250330.pkl,19,2,30,2
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_normal_question\20250330.pkl,19,2,40,1
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_normal_question\20250330.pkl,19,2,50,1
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_normal_question\20250330.pkl,19,3,0,1
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_normal_question\20250330.pkl,19,3,10,1
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_normal_question\20250330.pkl,19,3,20,2
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_normal_question\20250330.pkl,19,3,30,2
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_normal_question\20250330.pkl,19,3,40,2
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_normal_question\20250330.pkl,19,3,50,1
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_normal_question\20250330.pkl,19,4,0,1
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_normal_question\20250330.pkl,19,4,10,2
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_normal_question\20250330.pkl,19,4,20,2
