filepath,hour,minute,second,label
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_mindful_meal\20250311.pkl,22,0,0,2
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_mindful_meal\20250311.pkl,22,0,10,2
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_mindful_meal\20250311.pkl,22,0,20,3
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_mindful_meal\20250311.pkl,22,0,30,2
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_mindful_meal\20250311.pkl,22,0,40,2
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_mindful_meal\20250311.pkl,22,0,50,2
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_mindful_meal\20250311.pkl,22,1,0,2
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_mindful_meal\20250311.pkl,22,1,10,2
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_mindful_meal\20250311.pkl,22,1,20,2
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_mindful_meal\20250311.pkl,22,1,30,2
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_mindful_meal\20250311.pkl,22,1,40,2
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_mindful_meal\20250311.pkl,22,1,50,3
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_mindful_meal\20250311.pkl,22,2,0,5
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_mindful_meal\20250311.pkl,22,2,10,5
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_mindful_meal\20250311.pkl,22,2,20,5
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_mindful_meal\20250311.pkl,22,2,30,5
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_mindful_meal\20250311.pkl,22,2,40,5
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_mindful_meal\20250311.pkl,22,2,50,2
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_mindful_meal\20250311.pkl,22,3,0,3
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_mindful_meal\20250311.pkl,22,3,10,5
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_mindful_meal\20250311.pkl,22,3,20,5
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_mindful_meal\20250311.pkl,22,3,30,6
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_mindful_meal\20250311.pkl,22,3,40,7
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_mindful_meal\20250311.pkl,22,3,50,6
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_mindful_meal\20250311.pkl,22,4,0,5
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_mindful_meal\20250311.pkl,22,4,10,7
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_mindful_meal\20250311.pkl,22,4,20,7
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_mindful_meal\20250311.pkl,22,4,30,6
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_mindful_meal\20250311.pkl,22,4,40,6
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_mindful_meal\20250311.pkl,22,4,50,2
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_mindful_meal\20250311.pkl,22,5,0,2
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_mindful_meal\20250311.pkl,22,5,10,2
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_mindful_meal\20250311.pkl,22,5,20,2
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_mindful_meal\20250311.pkl,22,5,30,2
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_mindful_meal\20250311.pkl,22,5,40,3
