frame_idx,0_x,0_y,0_z,1_x,1_y,1_z,2_x,2_y,2_z,3_x,3_y,3_z,4_x,4_y,4_z,5_x,5_y,5_z,6_x,6_y,6_z,7_x,7_y,7_z,8_x,8_y,8_z,9_x,9_y,9_z,10_x,10_y,10_z,11_x,11_y,11_z,12_x,12_y,12_z,13_x,13_y,13_z,14_x,14_y,14_z,15_x,15_y,15_z,16_x,16_y,16_z,17_x,17_y,17_z,label
0,409.7609,165.3671,2023.0,542.9717,113.9908,2043.0,638.8887,88.0429,1981.0,624.1653,-109.6827,1955.0,413.5184,-103.7646,1963.0,406.2488,131.3237,2055.0,380.1955,-22.4064,2095.0,-1.0,-1.0,-1.0,607.3861,-185.4893,1952.0,593.0784,-262.8566,1916.0,366.7212,-337.8742,1339.0,453.8701,-168.6013,2015.0,309.2927,-240.9236,2075.0,176.9149,-368.09,1300.0,422.2355,196.576,1974.0,393.3641,201.4555,2023.0,501.2162,224.9309,1970.0,-1.0,-1.0,-1.0,2
1,406.4815,165.3671,2023.0,548.4226,111.111,2051.0,634.3939,84.659,1977.0,622.2667,-116.2611,1959.0,418.9954,-105.139,1989.0,441.1683,127.4927,2047.0,443.8392,-52.4784,2075.0,349.6308,-120.9347,2095.0,608.3196,-188.9448,1955.0,594.3165,-260.2916,1920.0,367.2039,-340.0075,1365.0,470.1123,-180.8838,2043.0,309.889,-234.6449,2079.0,175.8833,-376.7188,1308.0,419.6723,193.6685,1977.0,388.5421,200.6588,2015.0,496.5875,225.7302,1977.0,-1.0,-1.0,-1.0,2
2,428.7314,157.6774,2051.0,544.9429,118.4524,2063.0,647.5965,89.2429,2008.0,621.3032,-107.1115,1966.0,430.1553,-111.1414,1981.0,416.7263,138.1292,2108.0,411.7406,-46.2994,2100.0,273.2918,-80.9339,2311.0,613.1985,-188.245,1981.0,592.1279,-257.5797,1923.0,-1.0,-1.0,-1.0,464.9157,-177.328,2079.0,306.9078,-232.3876,2059.0,175.3454,-371.3373,1304.0,431.0239,184.7948,1985.0,406.8389,196.5385,2075.0,506.8135,227.4429,1992.0,-1.0,-1.0,-1.0,2
3,436.23,157.9849,2055.0,542.8297,117.993,2055.0,650.8515,89.2429,2008.0,618.1163,-103.9232,1966.0,432.5439,-111.7585,1992.0,415.9355,144.6914,2104.0,413.1975,-39.9582,2125.0,290.7778,-57.4607,2272.0,605.1504,-182.6039,1955.0,593.3596,-258.1155,1927.0,-1.0,-1.0,-1.0,461.9789,-164.9612,2051.0,306.9078,-229.0484,2059.0,176.9149,-368.09,1300.0,439.0021,188.677,1992.0,408.4074,197.2963,2083.0,514.1393,232.5261,2008.0,-1.0,-1.0,-1.0,2
4,427.8952,164.0093,2047.0,543.8863,121.5618,2059.0,653.1204,99.3574,2015.0,611.7423,-103.9232,1966.0,425.4439,-108.3646,1989.0,425.168,142.085,2116.0,391.7904,-29.5639,2121.0,280.1768,-50.8411,2306.0,605.3684,-190.008,1966.0,589.0487,-262.445,1913.0,-1.0,-1.0,-1.0,464.0212,-166.8915,2075.0,306.9078,-229.0484,2059.0,176.9149,-368.09,1300.0,433.3666,194.0604,1981.0,404.6673,200.5258,2047.0,514.9075,232.8735,2011.0,-1.0,-1.0,-1.0,2
5,428.7314,161.0036,2051.0,552.7009,122.0342,2067.0,651.8239,95.8988,2011.0,607.6268,-100.5812,1963.0,419.0355,-104.3461,1974.0,426.1727,138.981,2121.0,370.5437,4.9629,2178.0,288.8639,-39.2783,2286.0,599.8259,-185.1092,1948.0,589.0487,-259.3426,1913.0,-1.0,-1.0,-1.0,467.7145,-164.6395,2047.0,306.9078,-229.0484,2059.0,172.8331,-366.2632,1301.0,431.0239,191.2331,1985.0,403.8766,196.8208,2043.0,507.8312,234.3735,1996.0,-1.0,-1.0,-1.0,2
6,445.3551,161.0036,2051.0,551.6313,125.1436,2063.0,648.2585,95.3743,2000.0,612.987,-107.3294,1970.0,418.9954,-114.8159,1989.0,413.3656,150.5794,2091.0,374.4843,1.419,2160.0,325.208,-31.7941,2281.0,611.0317,-184.3785,1974.0,594.3165,-260.2916,1920.0,-1.0,-1.0,-1.0,461.3168,-162.3875,2019.0,307.504,-232.839,2063.0,172.4345,-365.4187,1298.0,439.7892,190.8477,1981.0,408.7828,197.5915,2051.0,533.3203,233.7999,2019.0,-1.0,-1.0,-1.0,2
7,437.85,160.6896,2047.0,547.224,128.2401,2059.0,651.8239,95.8988,2011.0,625.7608,-107.3294,1970.0,425.4439,-118.0415,1989.0,408.3364,158.0388,2100.0,365.652,4.9925,2191.0,291.9297,-39.1924,2281.0,605.208,-181.6698,1945.0,596.1843,-256.6421,1916.0,382.9422,-341.7263,1390.0,464.3866,-161.181,2004.0,307.504,-236.1847,2063.0,169.9367,-366.6742,1295.0,437.4594,191.2331,1985.0,409.5801,197.9768,2055.0,526.1094,228.813,2004.0,-1.0,-1.0,-1.0,2
8,439.4442,160.0616,2039.0,545.0978,131.068,2051.0,650.8515,95.7558,2008.0,632.1477,-110.5243,1970.0,423.7327,-117.5667,1981.0,406.5864,157.3615,2091.0,364.9845,8.5301,2187.0,288.8639,-39.2783,2286.0,603.6692,-180.2688,1930.0,596.1624,-252.2116,1906.0,-1.0,-1.0,-1.0,464.3866,-161.181,2004.0,308.1003,-239.9947,2067.0,174.8076,-370.1982,1300.0,435.6963,190.4624,1977.0,414.5187,192.0563,2063.0,530.4146,229.2697,2008.0,-1.0,-1.0,-1.0,2
9,437.72,159.4336,2031.0,539.4984,131.3237,2055.0,649.555,95.565,2004.0,636.6312,-110.7487,1974.0,426.944,-120.7794,1981.0,406.4748,162.0595,2108.0,360.8397,8.6004,2205.0,276.3665,-43.9446,2337.0,602.9837,-185.1092,1948.0,596.1624,-258.3936,1906.0,-1.0,-1.0,-1.0,458.8035,-168.0156,2008.0,306.3116,-238.6014,2055.0,174.8076,-368.09,1300.0,443.0004,190.8477,1981.0,416.2425,187.9789,2055.0,530.4146,229.2697,2008.0,-1.0,-1.0,-1.0,2
10,439.5612,161.3176,2055.0,540.5486,131.5793,2059.0,659.6532,89.554,2015.0,637.5987,-110.917,1977.0,430.0852,-119.8648,1966.0,406.4748,162.0595,2108.0,365.9015,15.8165,2214.0,291.2897,-28.0333,2276.0,600.8169,-187.5918,1941.0,598.3519,-256.2402,1913.0,-1.0,-1.0,-1.0,452.9691,-165.0054,2011.0,307.504,-239.5303,2063.0,177.3232,-371.0525,1303.0,441.4351,190.1734,1974.0,414.5187,192.0563,2063.0,531.2071,232.8735,2011.0,-1.0,-1.0,-1.0,2
11,436.9944,160.3756,2043.0,543.8863,131.5793,2059.0,659.6532,89.554,2015.0,633.0836,-110.1315,1963.0,434.1537,-110.5243,1970.0,404.9322,161.4445,2100.0,364.6035,15.9165,2228.0,290.1275,-28.2797,2296.0,599.8259,-185.1092,1948.0,601.4797,-257.5797,1923.0,349.6602,-340.6815,1292.0,455.672,-165.99,2023.0,307.504,-239.5303,2063.0,179.0923,-381.1571,1316.0,442.1059,190.4624,1977.0,407.9856,200.5258,2047.0,527.2448,234.3735,1996.0,-1.0,-1.0,-1.0,2
12,430.4036,164.9707,2059.0,552.7009,128.7384,2067.0,655.0838,92.6375,2011.0,641.3204,-106.7301,1959.0,430.0852,-110.2998,1966.0,405.8086,157.0605,2087.0,377.6017,-8.9973,2138.0,334.354,-52.5216,2219.0,604.4447,-189.718,1963.0,601.4797,-257.5797,1923.0,349.6602,-340.6815,1292.0,458.375,-170.2748,2035.0,307.504,-239.5303,2063.0,179.5006,-384.1651,1319.0,438.3409,191.6185,1989.0,407.9856,203.8455,2047.0,518.1674,239.3961,2011.0,-1.0,-1.0,-1.0,2
13,422.0818,167.6559,2051.0,545.0978,127.7419,2051.0,662.9196,92.8218,2015.0,642.6299,-103.7646,1963.0,426.9412,-99.0351,1996.0,413.3091,148.385,2108.0,376.7381,-2.0965,2173.0,319.5371,-42.6283,2267.0,611.2189,-195.0634,1985.0,600.5406,-258.5173,1930.0,342.7236,-368.9925,1274.0,466.4838,-176.6456,2071.0,307.504,-239.5303,2063.0,178.1397,-379.1297,1309.0,427.8061,194.4522,1985.0,411.1745,202.0932,2063.0,508.3876,232.8735,2011.0,-1.0,-1.0,-1.0,2
